"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","74/2420","173/8546",0.427745664739884,1.51054316151531,4.2637348536131,2.78213298197807e-05,0.000880165707025789,0.000625647129918513,"SLC25A5/CREBBP/BID/FAS/EIF2AK2/CASP8/TNFRSF1A/OAS1/ICAM1/JAK2/EP300/NFKBIA/NXT2/TRADD/PYCARD/TYK2/CDK6/RIGI/CCL2/NFKB1/NUP98/OAS3/OAS2/IL12B/IL1A/IFIH1/STAT1/AKT3/TRIM25/TNFSF10/IL1B/IRF3/TICAM1/TRAF3/RAF1/RSAD2/CDK4/IL6/CALCOCO2/CASP1/PML/IFNAR1/PIK3R1/IL18/PRKCA/MX1/IFNAR2/IFNGR2/NLRX1/ADAR/NXF1/JAK1/NLRP3/CASP3/TLR3/PRKCB/CXCL10/CXCL8/STAT2/CYCS/MYD88/RELA/MX2/TBK1/SOCS3/RAB11B/KPNA5/IRAK4/VDAC1/IRF9/HLA-DOB/IKBKE/CCL5/SLC25A6",74
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","77/2420","182/8546",0.423076923076923,1.49405594405594,4.23428446269897,3.06198894116722e-05,0.000887976792938494,0.000631199474714295,"CASP10/CREBBP/BID/ATP6V0A1/CAMK2B/SPHK2/CASP8/TNFRSF1A/FCGR2B/CD209/JAK2/EP300/EEA1/TRADD/RIPK2/TGFB1/NFKB1/IL10RA/TCIRG1/IL23A/CYP27B1/VDR/RAB5B/IL12B/IL1A/STAT1/AKT3/CREB1/PPP3CC/IL1B/LBP/LSP1/RAF1/IRAK2/IL6/TLR2/ITGAX/KSR1/FCGR2A/RFX5/CALM2/HSPD1/RAB5A/CAMK2D/ATP6V0D2/IL18/CEBPG/MAPK13/FCER1G/IFNGR2/ATP6V0D1/CALM3/JAK1/FCGR3B/LOC124905743/CASP3/SYK/CLEC4E/NOD2/ITGAM/CD14/CYCS/CEBPB/MYD88/RELA/PLK3/SPHK1/IRAK1/MAPK11/ATP6V0C/CARD9/CR1L/IRAK4/FCGR3A/HLA-DOB/IL10RB/MRC1",77
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","39/2420","78/8546",0.5,1.76570247933884,4.26964876751436,3.92631884367921e-05,0.000940575317182272,0.000668588020380623,"PYCARD/NOD1/NFKB1/IL23A/IL12B/IL1A/CXCL6/IRF1/IL1B/IRF3/TICAM1/IL6/CASP1/CALM2/SERPING1/MAPK13/C1QC/CALM3/ITGA5/NLRP3/CXCL5/CASP3/CFL2/CASP7/C2/CXCL8/ITGAM/CD14/MYD88/RELA/C1QB/C1QA/JUN/C1S/IRAK1/MAPK11/IRAK4/C4B/TICAM2",39
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","92/2420","227/8546",0.405286343612335,1.43123020351695,4.13867914021868,4.09671746912731e-05,0.000940575317182272,0.000668588020380623,"NDUFAB1/SLC25A5/HGF/PLD1/KEAP1/MGST2/NDUFB2/ATP5F1D/NDUFB7/HIF1A/NFKBIA/PRKD2/MET/AHR/PPIF/NFKB1/NDUFS8/ATP5F1B/VEGFA/NDUFS7/NFE2L2/ATP5PB/AKT3/SDHB/AKR1A1/FOXO3/CAT/ATP5F1E/NDUFA5/PLD2/NDUFA10/CYP2E1/COX7B/RAF1/GSTM3/ATP5MC2/RAC1/UQCRC2/MGST3/SDHC/ABL2/ARNT/ACP1/NDUFS6/PIK3R1/NDUFB9/PTPRJ/ATP5F1A/ATP5MC3/ATP5PF/MAPK13/BRAF/NCF1/ATP5MC1/NDUFV3/PRKCD/UQCRQ/NDUFB6/ATP5F1C/NDUFV1/NDUFS5/GSTM4/PTEN/RELA/UQCRH/SLC26A9/HRAS/COX8A/JUN/GRB2/COX5A/CYC1/UQCR10/MAPK11/NDUFA4L2/PTPN1/CYTB/ND2/ND5/ND4/ND1/ATP6/COX3/SDHD/ND4L/VDAC1/NDUFS3/SLC26A6/ATP8/ATP5PO/SOD2/SLC25A6",92
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","61/2420","138/8546",0.442028985507246,1.56098335129956,4.17559515077149,4.3234433337829e-05,0.000940575317182272,0.000668588020380623,"NDUFAB1/COX10/ATP6V0A1/NDUFB2/ATP5F1D/NDUFB7/ATP6V1D/NDUFS8/TCIRG1/ATP5F1B/ATP6V0E1/NDUFS7/ATP5PB/SDHB/ATP5F1E/ATP6V1F/NDUFA5/NDUFA10/COX7B/ATP5MC2/UQCRC2/SDHC/NDUFS6/ATP6V0D2/NDUFB9/ATP5F1A/ATP5MC3/ATP5PF/ATP5MC1/ATP6V0D1/NDUFV3/UQCRQ/NDUFB6/ATP5F1C/COX11/NDUFV1/NDUFS5/ATP5ME/ATP6V0E2/CYCS/UQCRH/COX8A/COX5A/CYC1/PPA1/UQCR10/NDUFA4L2/ATP6V0C/CYTB/ND2/ND5/ND4/ND1/ATP6/COX3/SDHD/ND4L/NDUFS3/ATP8/ATP5MF/ATP5PO",61
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","49/2420","105/8546",0.466666666666667,1.64798898071625,4.19894842482584,4.46138900621687e-05,0.000940575317182272,0.000668588020380623,"TFE3/BCL2L13/SAMM50/HIF1A/CSNK2A1/E2F1/MAP1LC3A/BNIP3L/TBC1D17/TAX1BP1/SMURF2/AMBRA1/RAB5B/TFEB/MFN2/FOXO3/OPTN/RRAS/TRAF2/ATF4/MTX2/TOMM40/RRAS2/USP15/CALCOCO2/GABARAPL1/RAB5A/UBC/TOMM70/MRAS/TOMM40L/NLRX1/SQSTM1/ARIH1/BCL2L1/RELA/MTX1/HRAS/BNIP3/ULK1/JUN/TBK1/MITF/NBR1/SMURF1/OPA1/FIS1/PGAM5/RAB7B",49
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","68/2420","158/8546",0.430379746835443,1.51984517208913,4.14522938171392,4.59476448048811e-05,0.000940575317182272,0.000668588020380623,"MAD1L1/CREBBP/DBF4/CUL1/PPP2R5A/PPP2R5B/MCM2/MCM6/CDC14A/PDS5B/CDC45/CDC6/GADD45B/EP300/E2F1/STAG2/MCM4/TGFB1/PPP2R1A/CDK6/CCND1/ANAPC15/CDKN1B/MCM3/TTK/SKP1/TFDP2/ORC2/GADD45A/ZBTB17/CDC20/CCND2/CDKN2C/MAD2L1BP/PKMYT1/YWHAH/CDKN2D/CDKN1C/MAU2/CCNB1/YWHAQ/ORC3/CDK4/MDM2/KNL1/TICRR/ESCO1/SMAD4/CCNA2/CDCA5/HDAC8/CDKN2B/ANAPC1/BUB1B/CCNB2/DBF4B/CDC25A/MAD2L1/RAD21/PLK1/SMAD3/CDT1/BUB1/CDK1/CCNE2/CDC26/ANAPC7/PRKDC",68
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","81/2420","196/8546",0.413265306122449,1.45940715129027,4.08938283297603,5.2399279701432e-05,0.00101305274089435,0.000720107060224358,"CREBBP/BID/FAS/EIF2AK2/CASP8/TNFRSF1A/NFATC3/PTGS2/CXCL2/ICAM1/ITPR3/JAK2/PDGFB/EP300/HIF1A/NFKBIA/HCK/E2F1/MAP1LC3A/TRADD/TYK2/CDK6/PIK3CG/NFKB1/CCND1/CLEC2B/VEGFA/CD86/STAT1/AKT3/CREB1/PPP3CC/ITPR2/PREX1/PLCG1/IRF3/ATG14/TRAF2/TICAM1/TRAF3/RAF1/IL6ST/CDK4/RAC1/IL6/PIK3R5/IFNAR1/CALM2/ATG3/PIK3R1/TCF7L2/UBC/MAPK13/IFNAR2/CALM3/CCR5/JAK1/CXCL3/CXCL1/CCR1/CASP3/TLR3/SYK/CTNNB1/STAT3/CXCL8/STAT2/CYCS/GNG12/RELA/HRAS/GNG7/JUN/TBK1/MAPK11/MICA/HLA-A/IRF9/LYN/IKBKE/PIK3R6",81
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","68/2420","159/8546",0.427672955974843,1.5102863974219,4.08210764202391,5.83974659758084e-05,0.00106959569260954,0.000760299418521605,"CFLAR/SLC25A5/BID/BIRC3/FAS/EIF2AK2/CAMK2B/CASP8/TNFRSF1A/TRAF5/CYLD/CHMP5/FTL/RNF31/HSP90AB1/JAK2/CHMP4B/TRADD/PYCARD/TYK2/PLA2G4C/JAK3/BIRC2/MACROH2A1/IL1A/STAT1/TNFAIP3/TNFSF10/ZBP1/IL1B/RBCK1/STAT5A/TRAF2/TICAM1/GLUL/RIPK1/CASP1/STAT4/IFNAR1/CAMK2D/AIFM1/IFNAR2/IFNGR2/SQSTM1/JAK1/NLRP3/TLR3/FTH1/MLKL/STAT3/PLA2G4F/JMJD7-PLA2G4B/STAT2/STAT5B/SHARPIN/H2AC13/H2AC11/VDAC1/IRF9/TICAM2/PLA2G4B/H2AJ/PGAM5/H2AC12/H2AC14/H2AC16/H2AC18/SLC25A6",68
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","99/2420","250/8546",0.396,1.39843636363636,4.01855411232152,6.31141725813156e-05,0.00109818660291489,0.000780622660874167,"RRAGD/CD44/BCAR1/CUL1/ELMO2/TNFRSF1A/ROCK1/PFN2/WIPI1/ACTN1/UBE2D1/TRAF5/RNF31/ITPR3/SEPTIN3/RPS6KA5/NFKBIA/PLCB4/MYL9/MAP1LC3A/MYL12A/TRADD/PYCARD/RIPK2/CYTH2/NOD1/WASL/ACTR3C/RPS6KB1/CYTH1/NFKB1/UBE2D3/WASF1/SKP1/IL1R1/ARHGEF2/AKT3/FOXO3/ITPR2/PLCG1/IL1B/RBCK1/IRF3/ATG14/TRAF2/H3-3B/MDM2/RAC1/CALCOCO2/RIPK1/CASP1/PLCB2/PIK3R1/ATG12/TNIP1/IL18/FOXO1/UBC/MAPK13/TAB3/HK2/HK3/SQSTM1/ITGA5/NLRP3/PRKCD/CGAS/ILK/CXCL8/CD14/PRKCE/BCL2L1/TLN2/CYCS/MYD88/RELA/RPS6KB2/BNIP3/JUN/SHARPIN/MYL11/TBK1/FOXO4/SEPTIN9/MAPK11/FNBP1/CASP4/H3C12/H3C15/AKT1S1/VDAC1/MYL5/CCL5/H3C8/H3C11/H3C1/H3C7/H3C2/H3C3",99
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","46/2420","99/8546",0.464646464646465,1.64085482928458,4.03089264637193,8.61825710945241e-05,0.00142816832099497,0.00101518316828136,"WAS/GAB2/SPHK2/PLPP1/FCGR2B/PLD1/PTPRC/HCK/PLA2G4C/ACTR3C/LIMK1/RPS6KB1/WASF1/AKT3/PLCG1/PRKCG/RAC2/PLD2/RAF1/RAC1/BIN1/FCGR2A/PIP5K1A/MYO10/PIK3R1/GSN/PRKCA/NCF1/VAV2/FCGR3B/LOC124905743/PRKCD/SYK/CFL2/PRKCB/PLA2G4F/JMJD7-PLA2G4B/PRKCE/MARCKSL1/RPS6KB2/SPHK1/LIMK2/FCGR3A/PLA2G4B/LYN/MARCKS",46
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","47/2420","103/8546",0.456310679611651,1.61141779667817,3.92358904867358,0.00012541266897485,0.00198380040014762,0.00141014245019568,"DGKA/PLPP1/PLD1/ACHE/PGS1/CRLS1/CHKB/CDS2/TAFAZZIN/PLA2G15/PLA2G4C/CHKA/CHPT1/GPD2/GPAM/LYPLA1/PLA2G12A/PLD2/PNPLA7/LPIN3/PEMT/PLAAT2/GPAT3/ETNK1/MBOAT2/ETNK2/PLA1A/PLPP5/GPD1L/PTDSS1/SAMD8/GPAT4/AGPAT3/PCYT1A/CDS1/GPD1/PLA2G4F/JMJD7-PLA2G4B/ADPRM/MBOAT1/PHOSPHO1/PCYT2/GPAT2/LOC128966744/SGMS1/PLPP4/PLA2G4B",47
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","66/2420","157/8546",0.420382165605096,1.4845396641575,3.85122846826099,0.000138577883090446,0.00209674362241197,0.00149042574490869,"STAB1/SLC66A1/BCAR1/CAMK2B/SPHK2/NFATC3/PTGS2/ARG2/JAK2/HIF1A/ATP11C/PLA2G15/VPS18/TGFB1/LIPA/PANX1/RAB5B/PTPN6/ODC1/SLC2A1/CREB1/SGK1/DNMT3A/DUSP4/ATP8A1/RAB17/PTGER2/PPARG/HAVCR2/CD36/TGFBRAP1/RAC1/CASP1/THBS1/CH25H/DUSP5/ITGAV/SIGLEC10/ARNT/RAB5A/CAMK2D/ADAM17/SLC16A1/MAPK13/DUSP2/C1QC/DUSP7/CASP3/ABCA1/CASP7/VPS39/S1PR1/PTGER4/P2RY6/ANO5/CEBPB/C1QB/C1QA/SPHK1/GPR132/ANO9/MAPK11/CD47/SIRPA/CPT1B/RAB7B",66
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","43/2420","93/8546",0.462365591397849,1.63280014218431,3.85636229662412,0.000166408602795689,0.0024129247405375,0.00171517638846434,"CREBBP/FYN/WAS/CTNNA1/ROCK1/ACTN1/FGFR1/EP300/CSNK2A1/MYL9/MYL12A/TJP1/RASIP1/MET/WASL/TGFBR1/SMURF2/PTPN6/WASF1/SSX2IP/SNAI1/RAP1B/RAC2/NECTIN2/AFDN/LMO7/RAC1/CCM2/SMAD4/ACP1/TCF7L2/PTPRJ/SMAD3/CTNNB1/RAC3/HEG1/BAIAP2/NECTIN3/CDH5/MYL11/PTPN1/SMURF1/MYL5",43
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","104/2420","271/8546",0.383763837638376,1.35522551919734,3.73490897739837,0.000177391146756391,0.00246928476284896,0.00175523871527376,"NDUFAB1/SLC25A5/SLC18A1/PSMA4/CAMK2B/MAOB/KEAP1/GNAS/NDUFB2/ITPR3/ATP5F1D/NDUFB7/TXN2/PSMA3/PSMA6/PSMA7/SLC39A14/PSMA2/PPIF/NDUFS8/PSMD9/SLC11A2/ATP5F1B/NDUFS7/HTRA2/NFE2L2/ATP5PB/MFN2/SDHB/DUSP1/ITPR2/TUBA1B/ATP5F1E/PLCG1/TRAP1/ADORA2A/ATF4/NDUFA5/NDUFA10/COX7B/ATP5MC2/TXN/PSMB7/TUBB2A/SLC39A8/UQCRC2/GNAL/SLC39A3/PRKACB/SDHC/SLC39A1/CALM2/CAMK2D/NDUFS6/NDUFB9/UBC/ATP5F1A/UCHL1/ATP5MC3/ATP5PF/MCU/UBE2L6/ATP5MC1/CALM3/NDUFV3/CASP3/UQCRQ/NDUFB6/ATP5F1C/NDUFV1/NDUFS5/BCL2L1/CYCS/UQCRH/KLC2/TUBB6/COX8A/ERN1/COX5A/CYC1/UBA7/UQCR10/SEPTIN5/UBE2G2/NDUFA4L2/TUBB4B/LRRK2/MAOA/SLC39A10/PSMD12/CYTB/ND2/ND5/ND4/ND1/ATP6/COX3/SDHD/ND4L/VDAC1/NDUFS3/ATP8/ATP5PO/SLC25A6",104
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","60/2420","143/8546",0.41958041958042,1.48170837427036,3.65098672306933,0.000291009807685743,0.00389505434902456,0.00276871679377124,"FYN/GAB2/LCP2/TNFRSF1A/FCGR2B/FOSL2/NFKB2/CYLD/TREM2/ITPR3/NFKBIA/ACP5/RELB/LILRB1/LILRA1/TGFB1/TYK2/TGFBR1/NFKB1/IL1A/STAT1/IL1R1/AKT3/CREB1/PPP3CC/ITPR2/IL1B/TRAF2/LILRB2/PPARG/RAC1/TNFRSF11A/IFNAR1/FCGR2A/PIK3R1/MAPK13/NCF1/IFNAR2/IFNGR2/SQSTM1/JAK1/FCGR3B/LOC124905743/SYK/STAT2/OSCAR/JUNB/RELA/JUN/GRB2/TMEM64/CSF1/SOCS3/SOCS1/MAPK11/MITF/LILRA5/SIRPA/FCGR3A/IRF9",60
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","88/2420","226/8546",0.389380530973451,1.3750603378922,3.59144249674049,0.000310865400797855,0.00400670961028346,0.00284808456871329,"BID/FAS/BCAR1/CASP8/TNFRSF1A/ROCK1/NFATC3/PTGS2/TRAF5/GNAS/ITPR3/NFKBIA/PLCB4/E2F1/TRADD/CDK6/CREB3/CXCL12/RPS6KB1/CCL2/NFKB1/CCND1/IL10RA/VEGFA/IL1R1/AKT3/CREB1/PPP3CC/ITPR2/PTGER2/IL1B/IRF3/PRKCG/TRAF2/ATF4/RAC2/RAF1/ARHGEF11/CDK4/MDM2/RAC1/IL6/RIPK1/PLCB2/ADCY3/ITGAV/PRKACB/CALM2/PIK3R1/GNA12/PRKCA/ADCY8/MAPK13/CALM3/IL6R/CCR5/ADCY9/JAK1/CCR1/CASP3/CGAS/ADCY1/TSC1/PRKCB/B2M/CTNNB1/TAP1/STAT3/CXCL8/RAC3/AKAP13/PTGER4/CYCS/GNG12/RELA/HRAS/RPS6KB2/GNG7/GRB2/CREB3L2/TBK1/MAPK11/EIF4EBP1/TAP2/HLA-A/IL10RB/CCL5/CCL4",88
